165.5,166.5
165.5,167
166,138
166,138.5
166,158
166,158.5
166,159
166,160.5
166,161
166,162
166,162.5
166,165
166,168
166.5,160
166.5,160.5
166.5,161
166.5,164.5
166.5,167.5
166.5,168
167,132.5
167,135
167,135.5
167,139
167,156.5
167,159.5
167,160
167,167.5
167,168
167.5,130.5
167.5,131
167.5,153
167.5,158.5
167.5,159.5
167.5,162
167.5,162.5
167.5,169
168,131.5
168,136
168,144
168,144.5
168,152.5
168,160.5
168,161
168,162
168,162.5
168,168.5
168.5,132
168.5,132.5
168.5,136
168.5,136.5
168.5,137
168.5,137.5
168.5,141.5
168.5,142
168.5,142.5
168.5,143
168.5,143.5
168.5,144
168.5,144.5
168.5,159.5
168.5,160
168.5,161
168.5,162
168.5,162.5
168.5,164
169,132
169,132.5
169,133
169,135.5
169,137
169,137.5
169,138
169,138.5
169,139
169,142
169,142.5
169,143.5
169,144
169,144.5
169,145
169,145.5
169,160
169,160.5
169,161
169,168
169.5,132
169.5,132.5
169.5,133.5
169.5,135
169.5,135.5
169.5,136
169.5,138
169.5,138.5
169.5,139
169.5,142.5
169.5,145.5
169.5,148
169.5,152.5
169.5,157
169.5,157.5
169.5,158
169.5,160
169.5,164.5
170,132.5
170,133
170,133.5
170,134
170,134.5
170,136.5
170,137
170,139
170,139.5
170,140
170,142.5
170,143
170,143.5
170,156
170,157
170,161.5
170.5,133
170.5,133.5
170.5,134
170.5,134.5
170.5,135
170.5,137.5
170.5,139.5
170.5,140
170.5,144
170.5,144.5
170.5,157
170.5,157.5
170.5,159.5
171,134
171,135
171,135.5
171,139
171,139.5
171,141.5
171,142.5
171,150.5
171,156.5
171,157
171,158.5
171.5,134
171.5,139.5
171.5,141.5
171.5,142
171.5,146
171.5,162.5
172,136.5
172,138.5
172,139
172,140.5
172,162.5
172.5,134.5
172.5,138.5
172.5,139
172.5,139.5
172.5,147
172.5,152
172.5,161.5
173,139.5
173,140
173,141
173,141.5
173,142
173,142.5
173,143
173,147
173,160.5
173.5,138
173.5,138.5
173.5,140.5
173.5,141
173.5,141.5
173.5,142.5
173.5,143
173.5,143.5
173.5,144
173.5,156.5
173.5,159
173.5,159.5
173.5,160
173.5,160.5
173.5,161
173.5,162
174,141.5
174,142
174,142.5
174,143
174,143.5
174,144
174,158
174,158.5
174,160
174,161
174,161.5
174.5,144.5
174.5,145
174.5,145.5
174.5,151
174.5,159.5
174.5,160
174.5,160.5
174.5,161.5
174.5,162.5
175,146
175,147
175,149
175,159.5
175.5,159.5
175.5,160
176,155.5
176,157.5
176,159
177,145
177,145.5
177,146
177,147.5
177,148.5
